・聖槍十三騎士団,Ordem dos Treze Cavaleiros da Lança Sagrada
"Originalmente nada além de um clube ocultista para generais de alta-patente, fundado pelo comandante da SS, Heinrich Himmler. Foi it was taken over by Reinhard Heydrich — o braço direito de Himmler — e Carl Kraft, renascendo como um grupo de feiticeiros que verdadeiramente representavam o paranormal. Também Conhecida como Távola Redonda Obsidiana.
Em 1944, ano em que a história se passa, treze poderosos feiticeiros pertencem ao grupo, sendo Reinhard o líder. Embora esteja oficialmente mortos e desprovidos de suas patentes militares, os feiticeiros conduzem suas próprias atividades independentes sob o plano de fundo da Segunda Guerra Mundial.
O objetivo deles é se tornarem imortais no sentido literal ou trazer os mortos de volta à vida, contudo o objetivo de Reinhard e Carl Kraft vai muito além disso.
Todavia, ninguém sabe exatamente do que se trata.",
・聖遺物,Relíquia
"Termo abrangente para se referir a objetos  general term for objects that have been bestowed with a will of their own as a result of many people throughout history pouring their feelings into them. It is similar to the Japanese concept of day-to-day objects possessed by spirits.
Embora sua natureza dependa dos sentimentos imbuídos nelas, todas buscam almas humanas como sustento, e escolhe usuários cuja disposição assemelha-se a elas. Embora seja um meio eficiente de obter sustento, Relíquias violentas proeminentes de ressentimentos acabam por devorar a alma de seus próprios usuários.
A Dádiva das Trevas que Wilhelm detém é uma delas, sendo, na verdade o sangue Vlad Tepes — o modelo que inspirou o Drácula.
Doravante, a maioria das Relíquias sob posse da Távola Redonda Obsidiana são artefatos coletados pela Deutsches Ahnenerbe durante a Segunda Guerra Mundial.",
・エイヴィヒカイト,Ewigkeit
"Feitiçaria que permite ao portador fundir-se espiritualmente com uma Relíquia e exercer poderes sobre-humanos.
Desenvolvida por Carl Kraft, todos os seus  discípulos, os cavaleiros da Távola Redonda Obsidiana, dominaram a Arte da Ewigkeit.
O fenômeno das Relíquias selecionarem seus portadores e ansiarem por almas para sustento existe há gerações, mas tais casos sempre resultam nas típicas histórias de pessoas sendo destruídas pela atração por um artefato amaldiçoado. Em outra palavras, não são benéficas aos portadores.
Contudo, a Ewigkeit mudou isso, permitindo aos portadores formarem uma relação simbiótica com suas Relíquias.
Resumindo, ao consumir uma vasta quantia de almas, o portador da Relíquia também se fortalece. Ele obtém uma força vital equivalente à quantia de almas ceifadas, dificultando suas mortes e aumentando suas funções corporais.
Though granting them immense power and essentially making them immortal, that doesn't mean a group of humans equal to the amount of souls they have can kill them.
That's because one who possesses a hundred souls is an inhuman creature that has 100x more life force than a normal person. As such, their fundamental strength is completely different from a human's, meaning not even the strongest of anti-personnel weapons can lay a scratch on them.
It is all a miracle brought on by converting the metaphysical energy known as souls into fuel.
The members of the Obsidian Table are always clad in this spiritual armor, so to kill them, one needs to destroy their souls. Put another way, outside of magical attacks, there is virtually nothing that can harm them.
Furthermore, there are four Degrees of Ewigkeit based on the user's skill level, as well as four types that depend on the dispositions of the wielder and their Ahnenerbe.",
・人器融合型,
"One of the four types Ewigkeit users can be categorized into. Short for ""Ahnenerbe Fusion Type.""
An offense type that manifests through the merging of the Ahnenerbe with its wielder, enhancing their physical abilities to heights unknown.
On the other hand, this puts the user into a heightened state of excitement that makes it difficult for them to make rational choices while active, and are unsuited for going on the defensive.
These users tend to be belligerent and destructive, with the majority of their Ahnenerbe possessing savage attributes.
Members of the Obsidian Table who fall into this type include Wilhelm, Spinne, and Schreiber.",
・武装具現型,
"One of the four types Ewigkeit users can be categorized into. Short for ""Armament Materialization Type.""
Their Ahnenerbe materialize as weapons, such as swords, lances, firearms, and so on, maintaining their standard form.
As such, they are well-balanced and possess no flaws, but neither do they possess any particular strengths either.
This makes them an unskilled jack-of-all-trades, but also a fit for nearly any situation, making them all but invincible.
These users tend to be soldierlike, with the majority of their Ahnenerbe being tools of war to match.
Members of the Obsidian Table who fall into this type include Reinhard, Beatrice, Eleonore, and Tubal Cain.",
・事象展開型,
"One of the four types Ewigkeit users can be categorized into. Short for ""Phenomenon Expansion Type.""
They appear not as clear manifestations of destruction or weapons, but as countertypes which use magic to control something or create traps.
This makes them poor at offense, but also excel in support and defense, making them quite efficient to have around.
These users tend to be intellectual, scholarly, and artistic, with many of their Ahnenerbe being books or works of art.
Members of the Obsidian Table who fall into this type include Lisa and Rusalka.",
・特殊発現型,
"One of the four types Ewigkeit users can be categorized into. Short for ""Special Manifestation Type.""
A type that either doesn't fall into one of the prior categories or possess traits of more than one of them.
As such, it is hard to describe them, as their effects have no uniform characteristics, and their strengths and weaknesses differ depending on the user.
What they do have in common is that their users are generally reckless and possess wholehearted conviction fringing on madness.
They could be described as religious in that sense, and as such, the majority of their Ahnenerbe were raised on some sort of zealous faith.
Members of the Obsidian Table who fall into this type include Machina, Trifa, and Mercurius.",
・活動位階,Grau Ativação
"O primeiro Grau da Ewigkeit, a feitiçaria que controla Relíquias. Também conhecido como Ativação.
Just by concentrating, the wielder can manifest their Ahnenerbe's attribute (so for a blade, a slash, for a firearm, fire, etc.).
As it is similar to psychokinesis, most of them are invisible and make for a swift initial response, but aren't all that powerful.
However, it is more than enough to deal a fatal wound to an ordinary human, and is effectively what most people imagine when they picture magic and supernatural powers.",
・形成位階,Grau Formação
"O segundo Grau da Ewigkeit, a feitiçaria que controla Relíquias. Também conhecido como Formação.
Forms the wielder's Ahnenerbe in a way that makes it visible. This has the effect of not only vastly boosting the Ahnenerbe's power, but also enhancing the user's five senses and spiritual senses beyond the limits of Assiah.
Exactly how much stronger they become differs depending on the Ahnenerbe's special traits, the user's skill, and how many souls they possess, but it is common for knights of the Obsidian Table to exhibit martial arts that exceed the speed of sound.",
・創造位階,Grau Criação
"O terceiro Grau da Ewigkeit, a feitiçaria que controla Relíquias. Também conhecido como Criação.
Creates a parallel world based on the user's craving — in other words, to materialize their greatest wish.
Here, the rules of the world are warped to match the ideals and common sense possessed by the user, and the laws of the old world hold no water. Whether it's to turn day into night, to break the speed of sound, or to destroy anything, even immaterial objects.
It can be said that the Beri'ah Degree is the act of creating rules, such as the prior three.
Since this is the act of creating a world — albeit limited — the general idea is that the only way to oppose this is to reach the same heights as a Beri'ah user.
Put another way, if you do not possess the ability to bend the laws of the world with your own will, you cannot attain the Beri'ah Degree and therefore have no chance of defeating another's figment.",
・流出位階,Grau Emanação
"O último Grau da Ewigkeit, a feitiçaria que controla Relíquias. Também conhecido como Emanação.
To take the world and rules that manifest in the Beri'ah Degree and have them emanate across the entire universe permanently.
Not even the user themself can call it off, making any entity who attains Atziluth a literal god. It is the act of painting over the underlying principles of the old world and reigning over all with the laws of the new world.
So far, only four entities have reached this level, and at the time of the story, it is the reign of the fourth god — the Fourth Heaven.
Only another Atziluth user can defeat them, and two gods cannot co-exist, so each new Atziluth user must engage in a battle to the death, with the winner earning the right to decide the laws of the world — a cycle that will repeat for all eternity.
Furthermore, everything above is limited strictly to Hegemony types (which will be covered later) — strictly speaking, Transcendence types cannot attain Atziluth.
In addition, not a single one of the four gods thus far has wielded an Ahnenerbe or Ewigkeit.
Ewigkeit is said to be a ""simple system to become a god"" or ""a beginner's manual.""",
・覇道,Hegemonia
"A apitidão de manifestar sua ânsia em Briah e Atziluth.
Basically, when one's wish is focused on the world around them and their own standards for happiness depend on the environment around them.
These are generally people with an aggressively singleminded desire to change others or the world to their liking and generally think stuff like ""I want X"" or ""I wish X"" (like Wilhelm's ""I want a night that never sees the light of day."").
Put in a positive light, this is a characteristic of a ruler, but in a negative light, it is the characteristics of an arrogant person who refuses to conform to the world around them.
There are virtuous Hegemony types rooted in love and devotion, but as their effects consistently manifest in the form of domination and suppression, there are many cases where even those with the best of intentions can create unintended consequences.
As stated previously, Hegemony types' Creation Figments warp space into a parallel world that reflects the user's ideal world, but as discord with the pre-existing world grows in proportion to the scale of the figment's interference with the outside, it is difficult to maintain for very long.
However, by attaining the Atziluth Degree, it is possible to become a god by literally swallowing the entire universe and painting it over with your own colors.
In other words, to become the supreme ruler of all the universe means that multiple Hegemonies who have reached the realm of the gods cannot coexist simultaneously. At the very least, in-story, there has consistently been only one being at the summit of all, all the way through the reign of the fourth god.",
・求道,Transcedência
